Problema, n, K, m, z, CPU
data/max_div_15_2.txt, 15, 2, 2, 11.859216, 0.002386458ms
data/max_div_15_2.txt, 15, 2, 3, 27.372711, 0.004582583ms
data/max_div_15_2.txt, 15, 2, 4, 47.682144, 0.006008208ms

data/max_div_15_3.txt, 15, 3, 2, 10.407675, 0.002288833ms
data/max_div_15_3.txt, 15, 3, 3, 27.63018, 0.004130834ms
data/max_div_15_3.txt, 15, 3, 4, 57.53092, 0.005783625ms

data/max_div_20_2.txt, 20, 2, 2, 8.510329, 0.002549709ms
data/max_div_20_2.txt, 20, 2, 3, 21.996084, 0.004132917ms
data/max_div_20_2.txt, 20, 2, 4, 38.591095, 0.006214292ms

data/max_div_20_3.txt, 20, 3, 2, 11.80031, 0.002515125ms
data/max_div_20_3.txt, 20, 3, 3, 28.939907, 0.004040375ms
data/max_div_20_3.txt, 20, 3, 4, 55.166595, 0.006268375ms

data/max_div_30_2.txt, 30, 2, 2, 11.657144, 0.003051958ms
data/max_div_30_2.txt, 30, 2, 3, 28.944305, 0.00511425ms
data/max_div_30_2.txt, 30, 2, 4, 51.06675, 0.008029875ms

data/max_div_30_3.txt, 30, 3, 2, 9.458229, 0.003223625ms
data/max_div_30_3.txt, 30, 3, 3, 29.730635, 0.005308708ms
data/max_div_30_3.txt, 30, 3, 4, 63.51844, 0.008077ms

