Problema, n, K, m, z, CPU
data/max_div_15_2.txt, 15, 2, 2, 11.859216, 0.000008625ms
data/max_div_15_2.txt, 15, 2, 3, 27.3727, 0.000051708ms
data/max_div_15_2.txt, 15, 2, 4, 49.826775, 0.00009575ms
data/max_div_15_2.txt, 15, 2, 5, 79.129524, 0.000139041ms

data/max_div_15_3.txt, 15, 3, 2, 13.27324, 0.000008167ms
data/max_div_15_3.txt, 15, 3, 3, 30.986698, 0.000055ms
data/max_div_15_3.txt, 15, 3, 4, 58.693417, 0.000099042ms
data/max_div_15_3.txt, 15, 3, 5, 96.08583, 0.000104542ms

data/max_div_20_2.txt, 20, 2, 2, 8.369001, 0.000008375ms
data/max_div_20_2.txt, 20, 2, 3, 21.18165, 0.000011417ms
data/max_div_20_2.txt, 20, 2, 4, 39.56823, 0.000015458ms
data/max_div_20_2.txt, 20, 2, 5, 62.872864, 0.000067292ms

data/max_div_20_3.txt, 20, 3, 2, 10.72946, 0.000008125ms
data/max_div_20_3.txt, 20, 3, 3, 30.87266, 0.000012917ms
data/max_div_20_3.txt, 20, 3, 4, 56.53473, 0.000065125ms
data/max_div_20_3.txt, 20, 3, 5, 92.82975, 0.000070833ms

data/max_div_30_2.txt, 30, 2, 2, 11.657144, 0.000009542ms
data/max_div_30_2.txt, 30, 2, 3, 28.9443, 0.000014833ms
data/max_div_30_2.txt, 30, 2, 4, 52.771175, 0.000102542ms
data/max_div_30_2.txt, 30, 2, 5, 80.91025, 0.000192042ms

data/max_div_30_3.txt, 30, 3, 2, 11.87027, 0.000010416ms
data/max_div_30_3.txt, 30, 3, 3, 30.259674, 0.000016917ms
data/max_div_30_3.txt, 30, 3, 4, 60.87198, 0.000024ms
data/max_div_30_3.txt, 30, 3, 5, 99.59203, 0.000031541ms

