Problema, n, K, m, z, CPU
data/max_div_15_2.txt, 15, 2, 2, 11.859216, 0.000171542ms
data/max_div_15_2.txt, 15, 2, 3, 27.3727, 0.000428416ms
data/max_div_15_2.txt, 15, 2, 4, 49.826782, 0.003531166ms
data/max_div_15_2.txt, 15, 2, 5, 79.12954, 0.004888833ms

data/max_div_15_3.txt, 15, 3, 2, 13.27324, 0.000120209ms
data/max_div_15_3.txt, 15, 3, 3, 31.868526, 0.000581792ms
data/max_div_15_3.txt, 15, 3, 4, 59.76376, 0.004629708ms
data/max_div_15_3.txt, 15, 3, 5, 96.08583, 0.000926042ms

data/max_div_20_2.txt, 20, 2, 2, 8.510329, 0.000238291ms
data/max_div_20_2.txt, 20, 2, 3, 21.996086, 0.002271666ms
data/max_div_20_2.txt, 20, 2, 4, 40.00226, 0.006596125ms
data/max_div_20_2.txt, 20, 2, 5, 63.65168, 0.00999125ms

data/max_div_20_3.txt, 20, 3, 2, 11.80031, 0.000302959ms
data/max_div_20_3.txt, 20, 3, 3, 30.87266, 0.000378667ms
data/max_div_20_3.txt, 20, 3, 4, 56.690315, 0.0030565ms
data/max_div_20_3.txt, 20, 3, 5, 92.82975, 0.001146875ms

data/max_div_30_2.txt, 30, 2, 2, 11.657144, 0.000286708ms
data/max_div_30_2.txt, 30, 2, 3, 28.9443, 0.00078175ms
data/max_div_30_2.txt, 30, 2, 4, 52.771175, 0.001535416ms
data/max_div_30_2.txt, 30, 2, 5, 80.91025, 0.002460083ms

data/max_div_30_3.txt, 30, 3, 2, 13.073737, 0.000546542ms
data/max_div_30_3.txt, 30, 3, 3, 34.290527, 0.009113542ms
data/max_div_30_3.txt, 30, 3, 4, 63.70196, 0.01235225ms
data/max_div_30_3.txt, 30, 3, 5, 99.59205, 0.015031667ms

