Problema, n, K, m, z, CPU
data/max_div_15_2.txt, 15, 2, 2, 11.859216, 0.000233583ms
data/max_div_15_2.txt, 15, 2, 3, 27.3727, 0.000580917ms
data/max_div_15_2.txt, 15, 2, 4, 49.826775, 0.001087291ms
data/max_div_15_2.txt, 15, 2, 5, 79.129524, 0.001894542ms

data/max_div_15_3.txt, 15, 3, 2, 13.27324, 0.000237833ms
data/max_div_15_3.txt, 15, 3, 3, 30.986698, 0.000591167ms
data/max_div_15_3.txt, 15, 3, 4, 58.693417, 0.001014083ms
data/max_div_15_3.txt, 15, 3, 5, 96.08583, 0.0016145ms

data/max_div_20_2.txt, 20, 2, 2, 8.369001, 0.000349375ms
data/max_div_20_2.txt, 20, 2, 3, 21.18165, 0.000831458ms
data/max_div_20_2.txt, 20, 2, 4, 39.56823, 0.001430416ms
data/max_div_20_2.txt, 20, 2, 5, 62.872864, 0.002512708ms

data/max_div_20_3.txt, 20, 3, 2, 10.72946, 0.000295958ms
data/max_div_20_3.txt, 20, 3, 3, 30.87266, 0.00076175ms
data/max_div_20_3.txt, 20, 3, 4, 56.53473, 0.001479709ms
data/max_div_20_3.txt, 20, 3, 5, 92.82975, 0.002074333ms

data/max_div_30_2.txt, 30, 2, 2, 11.657144, 0.000513541ms
data/max_div_30_2.txt, 30, 2, 3, 28.9443, 0.001382625ms
data/max_div_30_2.txt, 30, 2, 4, 52.771175, 0.002722667ms
data/max_div_30_2.txt, 30, 2, 5, 80.91025, 0.004073041ms

data/max_div_30_3.txt, 30, 3, 2, 11.87027, 0.000443708ms
data/max_div_30_3.txt, 30, 3, 3, 30.259674, 0.001190042ms
data/max_div_30_3.txt, 30, 3, 4, 60.87198, 0.002158583ms
data/max_div_30_3.txt, 30, 3, 5, 99.59203, 0.003425333ms

