Problema, n, K, m, z, CPU
data/max_div_15_2.txt, 15, 2, 2, 11.859216, 0.006600833ms
data/max_div_15_2.txt, 15, 2, 3, 27.372711, 0.010155458ms
data/max_div_15_2.txt, 15, 2, 4, 47.682144, 0.012945084ms

data/max_div_15_3.txt, 15, 3, 2, 10.407675, 0.004894917ms
data/max_div_15_3.txt, 15, 3, 3, 27.63018, 0.007618875ms
data/max_div_15_3.txt, 15, 3, 4, 57.53092, 0.0109755ms

data/max_div_20_2.txt, 20, 2, 2, 8.510329, 0.004590291ms
data/max_div_20_2.txt, 20, 2, 3, 21.996084, 0.007365334ms
data/max_div_20_2.txt, 20, 2, 4, 38.591095, 0.010854917ms

data/max_div_20_3.txt, 20, 3, 2, 11.80031, 0.004580583ms
data/max_div_20_3.txt, 20, 3, 3, 28.939907, 0.007599084ms
data/max_div_20_3.txt, 20, 3, 4, 55.166595, 0.011072458ms

data/max_div_30_2.txt, 30, 2, 2, 11.657144, 0.005885709ms
data/max_div_30_2.txt, 30, 2, 3, 28.944305, 0.009765708ms
data/max_div_30_2.txt, 30, 2, 4, 51.06675, 0.014163416ms

data/max_div_30_3.txt, 30, 3, 2, 9.458229, 0.006100791ms
data/max_div_30_3.txt, 30, 3, 3, 29.730635, 0.0103775ms
data/max_div_30_3.txt, 30, 3, 4, 63.51844, 0.015610458ms

